name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Royal Enfield Thunderbird 350,85000,2010,Individual,1st owner,15000.0,
Hero Achiever 150,65000,2016,Individual,1st owner,29000.0,69750.0
Hero Passion Pro 110,39000,2013,Individual,1st owner,20000.0,
Hero Duet,45000,2017,Individual,1st owner,35000.0,50280.0
Bajaj Avenger Street 150 [2018],60000,2016,Individual,1st owner,45137.0,80435.0
Royal Enfield Classic Stealth Black,160000,2018,Individual,1st owner,7500.0,204977.0
Bajaj Pulsar 150,35000,2011,Individual,1st owner,35600.0,
Bajaj Pulsar 135 LS,40000,2018,Individual,1st owner,15000.0,64589.0
Yamaha Fazer [2009-2016],40000,2012,Individual,1st owner,7353.0,84751.0
Honda CB Hornet 160R,56000,2017,Individual,2nd owner,13200.0,87543.0
Honda CB Unicorn Dazzler,22000,2011,Individual,1st owner,38350.0,71757.0
Yamaha YBR 125,36000,2014,Individual,1st owner,20400.0,54593.0
Suzuki Intruder 150 Fi,100000,2018,Individual,1st owner,14500.0,110240.0
Bajaj V15,42000,2016,Individual,1st owner,19500.0,67187.0
Royal Enfield Electra 5 S,85000,2008,Individual,1st owner,20000.0,
Hero Passion PRO TR,45000,2014,Individual,1st owner,36000.0,54586.0
Yamaha FZ25,145000,2019,Individual,1st owner,4500.0,133680.0
Hero Karizma [2003-2014],50000,2013,Individual,1st owner,38000.0,85766.0
Royal Enfield Interceptor 650,270000,2019,Individual,1st owner,9000.0,
Royal Enfield Thunderbird 350,60000,2006,Individual,1st owner,40000.0,
Royal Enfield Classic Squadron Blue,140000,2017,Individual,1st owner,25000.0,181445.0
Hero Honda Splendor Plus,28000,2008,Individual,1st owner,70889.0,
KTM 390 Duke ABS [2013-2016],180000,2015,Individual,2nd owner,13125.0,202127.0
Bajaj Pulsar 180,42000,2014,Individual,2nd owner,19600.0,85011.0
Suzuki Access 125 [2007-2016],16000,2011,Individual,1st owner,40000.0,58314.0
Hero Splendor iSmart,40000,2015,Individual,1st owner,19055.0,52271.0
Bajaj Pulsar 180,38000,2012,Individual,2nd owner,57000.0,85011.0
Yamaha YZF R15 S,85000,2017,Individual,1st owner,13000.0,117926.0
Honda Aviator,28000,2013,Individual,1st owner,28087.0,63537.0
KTM 200 Duke,135000,2018,Individual,1st owner,24000.0,
Royal Enfield Thunderbird 350,120000,2016,Individual,1st owner,24600.0,
Hero Karizma ZMR,37000,2010,Individual,1st owner,27500.0,108000.0
Royal Enfield Classic Chrome,135000,2015,Individual,1st owner,45000.0,189313.0
Hero Honda Splendor,10000,2000,Individual,1st owner,61000.0,
Mahindra Rodeo,20000,2013,Individual,1st owner,7000.0,47343.0
TVS Apache RTR 160,83299,2019,Individual,1st owner,6400.0,
Yamaha Fazer FI V 2.0 [2016-2018],65000,2018,Individual,1st owner,3500.0,89643.0
Honda Activa 5G,50000,2018,Individual,1st owner,14000.0,59422.0
Bajaj Pulsar 220 Fi,65000,2013,Individual,1st owner,6409.0,
Hero Honda Karizma ZMR [2010],45000,2012,Individual,3rd owner,44000.0,
Honda CB Hornet 160R,60000,2017,Individual,1st owner,16500.0,92210.0
Royal Enfield Bullet 350,110000,2015,Individual,1st owner,36000.0,
Hero Honda CD Deluxe,14700,2005,Individual,2nd owner,30000.0,
Yamaha Saluto,38000,2015,Individual,1st owner,15000.0,63180.0
Suzuki Access 125,70000,2018,Individual,1st owner,14500.0,
TVS Sport,35000,2018,Individual,1st owner,26600.0,
Hero Honda Glamour,19000,2012,Individual,1st owner,32000.0,
KTM 125 Duke,130000,2019,Individual,1st owner,3500.0,
Bajaj Pulsar NS200,50000,2013,Dealer,1st owner,58203.0,
Bajaj Pulsar 150 [2001-2011],18000,2005,Individual,1st owner,21885.0,
Hero Xtreme 200R,87000,2019,Individual,1st owner,3200.0,93400.0
Hero Honda Splendor Plus,40000,2007,Individual,1st owner,40000.0,
Bajaj Discover 150S,35000,2015,Individual,1st owner,28000.0,63331.0
Honda CBR-250R,100000,2011,Individual,2nd owner,3500.0,171646.0
Hero Pleasure,30000,2013,Individual,1st owner,24000.0,51600.0
Bajaj Avenger Cruise 220,95000,2018,Individual,1st owner,1800.0,
Bajaj Discover 125 ST,25000,2012,Individual,1st owner,76000.0,58438.0
Bajaj Pulsar 150 [2001-2011],26500,2010,Individual,1st owner,52500.0,
Bajaj Boxer,12000,2008,Individual,1st owner,17500.0,
Bajaj Pulsar 150,20000,2006,Individual,1st owner,41000.0,
Royal Enfield Classic Signals,195000,2018,Individual,1st owner,2845.0,164095.0
Bajaj Pulsar 180,14900,2007,Individual,1st owner,50000.0,85011.0
Honda Dream Yuga,48000,2018,Individual,1st owner,7110.0,56147.0
Yamaha FZ S [2012-2016],40000,2014,Individual,1st owner,27785.0,79432.0
Honda CB Unicorn,45000,2010,Individual,1st owner,75000.0,71681.0
Honda Shine,25000,2010,Individual,1st owner,20000.0,
Honda Activa 3G,25000,2011,Individual,1st owner,20000.0,54605.0
Honda Activa [2000-2015],10000,2009,Individual,1st owner,60000.0,50267.0
Mahindra Flyte,22000,2009,Individual,3rd owner,20000.0,44493.0
Honda Activa 3G,45000,2015,Individual,1st owner,18000.0,54605.0
KTM 250 Duke,135000,2017,Individual,1st owner,16500.0,
Yamaha Ray Z,75000,2017,Individual,1st owner,15000.0,52949.0
Bajaj Pulsar 135 LS,24000,2010,Individual,1st owner,45000.0,64589.0
Yamaha FZ16,45000,2016,Individual,1st owner,37000.0,78712.0
Hero Passion PRO i3s,55000,2017,Individual,1st owner,14600.0,54475.0
Bajaj Discover 125,10000,2006,Individual,1st owner,51000.0,57549.0
Royal Enfield Classic 350,135000,2017,Individual,1st owner,15000.0,
Honda CB Unicorn 150,55000,2017,Individual,1st owner,12000.0,74295.0
Bajaj Avenger [2015],35000,2012,Individual,1st owner,15000.0,75502.0
Bajaj Super,20000,1988,Individual,1st owner,21000.0,
Bajaj Pulsar 150,26000,2012,Individual,2nd owner,65000.0,
Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000.0,50267.0
Royal Enfield Classic Desert Storm,150000,2015,Individual,1st owner,23000.0,181445.0
Hero Honda CD Deluxe,24700,2012,Individual,2nd owner,40000.0,
Hero Duet,35000,2016,Individual,2nd owner,49637.0,54080.0
Hero Honda Passion PRO [2012],12000,2012,Individual,1st owner,90000.0,
Royal Enfield Classic 350,150000,2017,Individual,1st owner,7000.0,
Honda Activa 3G,50000,2016,Individual,1st owner,5326.0,54605.0
Honda Activa [2000-2015],25000,2009,Individual,1st owner,585659.0,50267.0
Hero Honda CD100,15000,1999,Dealer,2nd owner,10000.0,
Hero Super Splendor,35000,2014,Individual,2nd owner,37541.0,
Honda CB Trigger,45000,2015,Individual,1st owner,36000.0,83437.0
Honda Dream Yuga,25000,2013,Individual,1st owner,29000.0,56147.0
Hero Honda Passion Plus,40000,2018,Individual,1st owner,29000.0,
TVS Spectra,17000,2008,Individual,1st owner,50000.0,
Hero Ignitor,30000,2016,Individual,1st owner,18000.0,67722.0
Hero Honda CD100,15000,2000,Individual,1st owner,50000.0,
Bajaj Pulsar 220F,60000,2017,Individual,2nd owner,40000.0,
Hero Splendor Plus,30000,2013,Individual,1st owner,20000.0,
Yamaha YZF R15 [2011-2018],60000,2012,Individual,1st owner,22000.0,118997.0
Honda Activa 3G,32000,2015,Individual,1st owner,4500.0,54605.0
Bajaj Discover 150,30000,2012,Individual,1st owner,50000.0,54299.0
Bajaj Pulsar 150 [2001-2011],55000,2010,Individual,1st owner,42000.0,
Bajaj Avenger Street 150 [2018],75000,2016,Individual,1st owner,35000.0,80435.0
TVS Star City Plus,52000,2017,Individual,1st owner,25000.0,
Bajaj Discover 125,38000,2018,Individual,1st owner,34000.0,60122.0
Bajaj Discover 135,12000,2007,Individual,1st owner,60000.0,
Honda CB Shine SP,47000,2017,Individual,1st owner,73000.0,64750.0
Honda Activa [2000-2015],22000,2014,Individual,1st owner,38000.0,50267.0
Bajaj Avenger [2015],65000,2015,Individual,1st owner,26000.0,75502.0
Bajaj Platina 100,23000,2013,Individual,2nd owner,24000.0,
Bajaj Discover 100,30000,2011,Individual,1st owner,45000.0,42859.0
Bajaj Pulsar 150,35000,2011,Individual,1st owner,36000.0,
Bajaj Avenger Street 150 [2018],80000,2017,Individual,1st owner,30000.0,80435.0
Bajaj Platina 100,20000,2012,Individual,1st owner,16295.0,
Bajaj Pulsar 150,16000,2011,Individual,2nd owner,59000.0,
Bajaj Pulsar 150,20000,2006,Individual,1st owner,9500.0,
Bajaj Pulsar NS200,50000,2012,Individual,1st owner,46000.0,
Honda CB Trigger,40000,2015,Individual,1st owner,75000.0,76572.0
Bajaj Pulsar 180,65000,2018,Individual,1st owner,26000.0,85011.0
Yamaha YZF R15 S,85000,2016,Individual,1st owner,26000.0,117926.0
Hero Splendor Plus,12000,2007,Individual,1st owner,100000.0,
Hero Xpulse 200T,105000,2019,Individual,1st owner,2900.0,96500.0
Yamaha FZ S V 2.0,40000,2015,Individual,1st owner,25000.0,84042.0
Bajaj Discover 150,30000,2011,Individual,2nd owner,39500.0,54299.0
Honda Activa [2000-2015],25000,2012,Individual,1st owner,40000.0,50267.0
Hero Splendor PRO,40000,2016,Individual,1st owner,16000.0,51994.0
Honda Dream Neo,45000,2017,Individual,2nd owner,21000.0,49211.0
Bajaj CT 100,40000,2018,Individual,1st owner,14000.0,
Suzuki Access 125,70000,2018,Individual,1st owner,7000.0,76632.0
Honda Activa [2000-2015],30000,2012,Individual,1st owner,22000.0,50267.0
Hero Honda Pleasure,25000,2009,Individual,1st owner,50000.0,
Honda CB Hornet 160R,70000,2017,Individual,1st owner,35000.0,87719.0
Bajaj V15,50000,2017,Individual,1st owner,9000.0,65626.0
Hero Honda CD Deluxe,25000,2010,Individual,1st owner,35000.0,
Bajaj Pulsar 150,22000,2011,Individual,1st owner,60000.0,
Honda Activa [2000-2015],35000,2013,Individual,1st owner,29500.0,50267.0
TVS Apache RTR 160,40000,2014,Individual,2nd owner,50000.0,
Bajaj Pulsar 220F,75000,2016,Individual,1st owner,10500.0,
Hero Honda Passion PRO [2012],28000,2011,Individual,2nd owner,60000.0,
Hero Maestro Edge,55000,2018,Individual,1st owner,39000.0,52790.0
Honda Dio,30000,2014,Individual,1st owner,24000.0,
Hero Glamour 125,40000,2016,Individual,1st owner,15000.0,61600.0
Bajaj Avenger Street 160,85000,2019,Individual,1st owner,3000.0,
Hero Honda CD Deluxe,12000,2007,Individual,2nd owner,100000.0,
Yamaha YBR 125,35000,2013,Individual,1st owner,20350.0,54593.0
Bajaj Pulsar 150,25000,2015,Individual,2nd owner,50000.0,
Bajaj Pulsar 150,40000,2012,Individual,2nd owner,37000.0,
Hero Honda CD Deluxe,15000,2011,Individual,1st owner,70000.0,
Hero Passion PRO i3s,55000,2018,Individual,1st owner,15000.0,54475.0
Bajaj Pulsar 180,60000,2015,Individual,1st owner,28563.0,85011.0
Yamaha Fazer 25,115000,2018,Individual,1st owner,11000.0,142680.0
TVS Excel,5000,1998,Individual,1st owner,60000.0,
Honda Shine,40000,2015,Individual,1st owner,21121.0,
Honda Dream Neo,50000,2014,Individual,1st owner,25000.0,49211.0
Honda Dio,28000,2014,Individual,1st owner,13000.0,
Hero Splendor Plus,35000,2013,Individual,1st owner,55000.0,
Bajaj Xcd,25000,2007,Individual,2nd owner,100000.0,
TVS Streak,20000,2009,Individual,2nd owner,36000.0,
Bajaj Pulsar 180,40000,2013,Individual,1st owner,34000.0,85011.0
Hero Xtreme 200R,86000,2018,Individual,1st owner,12000.0,93400.0
Yamaha YZF R15 [2011-2018],65000,2011,Individual,1st owner,29000.0,
Bajaj Avenger Street 150 [2018],60000,2017,Individual,1st owner,30000.0,80435.0
Yamaha RX135,65000,1998,Individual,3rd owner,16500.0,
Honda CB Shine SP,41000,2017,Individual,1st owner,33000.0,66697.0
Honda CBR150 R,110000,2017,Individual,1st owner,11800.0,129662.0
Honda Dream Yuga,32000,2017,Individual,1st owner,39000.0,56147.0
Honda Shine,37000,2014,Individual,1st owner,16145.0,
Hero Splendor Plus i3s,65000,2019,Individual,1st owner,1000.0,55600.0
Hero Honda Passion Plus,18000,2007,Individual,2nd owner,50000.0,
Hero Honda Passion PRO [2012],28700,2012,Individual,2nd owner,49876.0,
Honda Activa 3G,35000,2016,Individual,1st owner,51000.0,54605.0
Bajaj Pulsar 180F,100000,2019,Individual,1st owner,1300.0,
Hero Honda Glamour,21000,2010,Individual,1st owner,11000.0,
Bajaj Pulsar 150 [2001-2011],30000,2010,Individual,2nd owner,55000.0,
TVS Apache RTR 200 4V,90000,2019,Individual,1st owner,20000.0,
Bajaj Super,6000,1991,Individual,1st owner,35000.0,
Hero Honda Passion Plus,23500,2010,Individual,1st owner,60000.0,
Bajaj Pulsar 150,55000,2015,Individual,2nd owner,40000.0,
Yamaha SZ X,35000,2010,Individual,1st owner,46000.0,65800.0
Hero Honda CD100,15000,1998,Individual,1st owner,65000.0,
Bajaj Pulsar 180,35000,2009,Individual,1st owner,19000.0,85011.0
Bajaj Pulsar 220 DTS-i,40000,2011,Individual,1st owner,26000.0,
Hero Honda Achiever,15000,2009,Individual,1st owner,86000.0,
Hero Honda Karizma,40000,2011,Individual,2nd owner,340000.0,
Honda CB Unicorn 160,75000,2016,Individual,1st owner,40000.0,77545.0
Bajaj Avenger Cruise 220,70000,2016,Individual,1st owner,10000.0,
Bajaj Discover 135,22000,2007,Individual,1st owner,25000.0,
Yamaha FZ S V 2.0,80000,2019,Individual,1st owner,10000.0,87042.0
Bajaj Pulsar 150,72000,2017,Individual,1st owner,24000.0,
Hero HF Deluxe,30000,2014,Individual,2nd owner,35000.0,
Bajaj Pulsar 135 LS,25000,2011,Individual,2nd owner,30000.0,64589.0
Aprilia SR 125,65000,2018,Individual,1st owner,6500.0,
Bajaj Pulsar 150,68000,2019,Individual,1st owner,10000.0,
Hero Duet,27000,2016,Individual,1st owner,28000.0,50280.0
Honda CB Twister,25000,2015,Individual,1st owner,35000.0,57241.0
Bajaj Discover 125,45000,2016,Individual,1st owner,20000.0,60122.0
Honda CBR-250R,200000,2019,Individual,1st owner,5500.0,202310.0
Bajaj Pulsar 180,20100,2008,Individual,1st owner,36000.0,85011.0
Honda Shine,30000,2014,Individual,1st owner,25000.0,
Suzuki Swish [2012-2015],30000,2014,Individual,1st owner,30000.0,51685.0
TVS Star City,21000,2011,Individual,1st owner,101000.0,47108.0
Hero Super Splendor,45000,2012,Individual,1st owner,21000.0,
Yamaha Fazer [2009-2016],45000,2014,Individual,1st owner,57700.0,84751.0
TVS Scooty Pep DLX,14500,2012,Individual,1st owner,44000.0,
Honda Dream Yuga,47000,2019,Individual,1st owner,8800.0,56147.0
TVS Star City Plus,26000,2014,Individual,2nd owner,68000.0,
Yamaha Fazer [2009-2016],25000,2013,Individual,1st owner,120000.0,84751.0
Hero Honda Street Smart,10000,2000,Individual,1st owner,24000.0,
TVS Apache RTR 160,50000,2017,Individual,1st owner,38000.0,
Honda Dio,23000,2010,Individual,1st owner,40000.0,
Honda Activa [2000-2015],50000,2014,Individual,1st owner,48000.0,50267.0
Hero Maestro Edge,46000,2015,Individual,1st owner,14000.0,55980.0
Honda CB Hornet 160R,80000,2017,Individual,1st owner,18000.0,87719.0
Honda CB Trigger,40000,2014,Individual,1st owner,75000.0,83437.0
Hero Glamour FI,30900,2014,Individual,1st owner,25000.0,71150.0
Bajaj Avenger [2015],65000,2010,Individual,1st owner,20000.0,75502.0
Hero Honda Splendor Plus,15000,2006,Individual,1st owner,100000.0,
TVS Apache RTR 160,89999,2019,Individual,1st owner,6400.0,
Hero Honda Splendor Plus,17600,2006,Individual,1st owner,52000.0,
Bajaj Platina 100,17000,2007,Individual,1st owner,16000.0,
Yamaha FZ25,90000,2018,Individual,1st owner,8200.0,132680.0
Bajaj Pulsar 150 [2001-2011],35000,2010,Individual,1st owner,60000.0,
Yamaha YZF R15 S,70000,2017,Individual,1st owner,16000.0,117926.0
Bajaj Discover 125,15000,2011,Individual,1st owner,47000.0,57549.0
Hero Passion PRO i3s,35000,2016,Individual,1st owner,18000.0,54475.0
Honda Activa [2000-2015],15000,2006,Individual,1st owner,50000.0,50267.0
Bajaj Discover 125,50000,2018,Individual,1st owner,6000.0,60122.0
Suzuki Gixxer [2014-2018],69000,2017,Individual,1st owner,20000.0,82813.0
TVS Wego,15000,2011,Individual,1st owner,65000.0,54760.0
Bajaj Discover 150,25000,2008,Individual,1st owner,25000.0,54299.0
Suzuki Access 125 [2007-2016],30000,2012,Individual,1st owner,23000.0,58314.0
Hero Karizma 2014,45000,2014,Individual,1st owner,5555.0,86744.0
Hero CD Deluxe,35000,2016,Individual,1st owner,38000.0,
Yamaha Fazer 25,120000,2018,Individual,1st owner,6000.0,142680.0
Hero Splendor Plus,25000,2015,Individual,1st owner,45000.0,
Yamaha YZF R15 [2011-2018],80000,2017,Individual,1st owner,27000.0,118997.0
Hero Honda Splendor Plus,10000,2007,Individual,1st owner,98000.0,
TVS Apache RTR 160,70000,2018,Individual,1st owner,16000.0,
Bajaj Pulsar 150,35000,2011,Individual,1st owner,50000.0,
Hero Glamour 125,40000,2015,Individual,1st owner,71250.0,61600.0
Hero Honda Passion Plus,20000,2006,Individual,1st owner,28000.0,
Honda CB Twister,30000,2012,Individual,1st owner,50000.0,57241.0
Bajaj CT 100,8000,2005,Individual,2nd owner,82000.0,
Bajaj Pulsar 220 DTS-i,65000,2013,Individual,1st owner,6409.0,
Hero Honda Super Splendor [2005],20000,2008,Individual,1st owner,54000.0,
Honda CB Trigger,45000,2013,Individual,1st owner,20000.0,76572.0
Hero Hunk,35000,2013,Individual,1st owner,50000.0,78513.0
Bajaj Discover 150,25000,2011,Individual,1st owner,52000.0,54299.0
TVS Apache RTR 160,15000,2009,Individual,4th owner,880000.0,
Hero Xtreme Sports,65000,2017,Individual,1st owner,23000.0,78350.0
Bajaj Avenger [2015],45000,2011,Individual,1st owner,35000.0,75502.0
Honda Activa 125,45000,2017,Individual,1st owner,49000.0,
Bajaj Pulsar 220F,50000,2011,Individual,2nd owner,55000.0,
Bajaj Pulsar NS200,85000,2018,Individual,2nd owner,15100.0,
Hero Honda Splendor,25000,2008,Individual,1st owner,38000.0,
Honda CB Unicorn 150,60000,2017,Individual,1st owner,12652.0,74295.0
Suzuki Gixxer SF Fi,100000,2019,Individual,1st owner,7000.0,103170.0
KTM RC 200,180000,2019,Individual,2nd owner,13800.0,
Bajaj Discover 100,25000,2010,Individual,2nd owner,28000.0,42859.0
TVS Wego,15000,2011,Individual,2nd owner,20000.0,54760.0
Honda CB Hornet 160R,60000,2017,Individual,2nd owner,16008.0,92210.0
Yamaha YZF R15 S,75000,2018,Individual,1st owner,36000.0,117926.0
Hero CBZ,35000,2010,Individual,1st owner,36000.0,
TVS Scooty Zest 110,55000,2018,Individual,1st owner,380.0,53751.0
Yamaha FZ S V 2.0,85000,2018,Individual,1st owner,50000.0,87042.0
Hero Honda Glamour,35000,2012,Individual,1st owner,30000.0,
Hero Honda CBZ extreme,35000,2011,Individual,1st owner,35000.0,
Yamaha FZ S V 2.0,60000,2017,Individual,1st owner,14500.0,84042.0
Suzuki Access 125,40000,2017,Individual,1st owner,15000.0,
Bajaj Pulsar 150,30000,2010,Individual,1st owner,54000.0,
Bajaj Pulsar NS160,80000,2018,Individual,1st owner,11000.0,
Hero Splendor PRO,24000,2011,Individual,1st owner,43000.0,51994.0
Honda Shine,18000,2010,Individual,1st owner,15000.0,
Hero Passion Pro 110,20000,2008,Individual,3rd owner,40000.0,
Yamaha FZ16,40000,2016,Individual,1st owner,93000.0,78712.0
Suzuki Access 125,20000,2012,Individual,1st owner,24000.0,
TVS Jupiter,70000,2018,Individual,1st owner,14000.0,
Hero Passion Pro 110,50000,2019,Individual,1st owner,29442.0,
Yamaha FZ S V 2.0,75000,2017,Individual,1st owner,20000.0,84042.0
Honda Livo,25000,2015,Individual,1st owner,30000.0,
Honda CB Hornet 160R,70000,2017,Individual,1st owner,38000.0,87543.0
Honda Activa 125 [2016-2017],55000,2018,Individual,1st owner,18000.0,61545.0
Honda Activa 5G,51000,2018,Individual,1st owner,14000.0,59422.0
Yamaha Saluto,74000,2019,Individual,1st owner,13000.0,59844.0
Yamaha FZ S V 2.0,65000,2017,Individual,1st owner,42000.0,84042.0
Bajaj Avenger Street 150 [2018],60000,2016,Individual,2nd owner,27000.0,80435.0
Bajaj Pulsar 220F,110000,2019,Individual,1st owner,4000.0,
Yamaha YZF R15 [2011-2018],50000,2014,Individual,1st owner,1200.0,118997.0
TVS Apache RTR 160 4V,85009,2018,Individual,1st owner,7500.0,
Hero Passion Pro 110,60000,2013,Individual,1st owner,15000.0,
Bajaj Pulsar 150,25000,2013,Individual,2nd owner,70000.0,
TVS Apache RTR 160 4V,75000,2019,Individual,1st owner,12657.0,
Honda CB Unicorn 150,30000,2010,Individual,1st owner,69000.0,74295.0
Honda Activa [2000-2015],16600,2010,Individual,1st owner,100000.0,50267.0
Honda Activa 3G,30000,2015,Individual,1st owner,18000.0,54605.0
Honda Shine,20000,2007,Individual,1st owner,80000.0,
Honda Activa 5G,62000,2019,Individual,1st owner,11200.0,59422.0
Bajaj Avenger Street 220,60000,2016,Individual,1st owner,17000.0,95955.0
Hero Xtreme [2013-2014],45000,2014,Individual,1st owner,56420.0,72492.0
Yamaha FZ S [2012-2016],40000,2011,Individual,1st owner,82000.0,79432.0
Suzuki Intruder 150,75000,2018,Individual,1st owner,10000.0,
Yamaha Fazer [2009-2016],50000,2012,Individual,1st owner,100000.0,84751.0
Bajaj Pulsar RS 200,105000,2017,Individual,1st owner,18345.0,
Bajaj Discover 135,30000,2009,Individual,1st owner,20000.0,
Hero Honda CBZ,10000,2000,Individual,4th owner,48000.0,
Bajaj Pulsar 135 LS,45000,2014,Individual,1st owner,14000.0,64589.0
Yamaha Fazer 25,145000,2018,Individual,2nd owner,4100.0,142680.0
Honda CB Unicorn 150,45000,2016,Individual,2nd owner,50000.0,74295.0
Honda Activa 5G,65000,2019,Individual,1st owner,3025.0,59422.0
Bajaj Pulsar 135 LS,20000,2011,Individual,1st owner,60000.0,64589.0
Hero Duet,37000,2016,Individual,1st owner,6000.0,50280.0
Hero Splendor NXG,18000,2011,Individual,1st owner,35000.0,44814.0
Hero Glamour 125,25000,2013,Individual,1st owner,50000.0,61600.0
Honda Activa 5G,46000,2018,Individual,1st owner,10000.0,57557.0
Yamaha Fascino 110,55000,2019,Individual,1st owner,7000.0,57112.0
Bajaj V15,40000,2016,Individual,1st owner,34000.0,67187.0
Hero Honda Passion PRO [2012],25000,2012,Individual,2nd owner,20000.0,
Honda Activa [2000-2015],25000,2012,Individual,1st owner,38000.0,50267.0
Bajaj Xcd,15000,2008,Individual,1st owner,100000.0,
Bajaj Pulsar NS160,70000,2018,Individual,1st owner,20000.0,
Honda CB Hornet 160R,70000,2017,Individual,1st owner,240000.0,92210.0
Yamaha RXG,25000,1997,Individual,1st owner,45354.0,
TVS Streak,10000,2009,Individual,1st owner,100000.0,
Bajaj Pulsar RS 200,80000,2015,Individual,1st owner,32000.0,
Yamaha Alpha,25000,2015,Individual,2nd owner,14000.0,54253.0
Honda Livo,35000,2016,Individual,1st owner,70000.0,
Mahindra Gusto,25000,2016,Individual,1st owner,13500.0,51185.0
Bajaj Discover 125,26000,2012,Individual,1st owner,75000.0,57549.0
Hero Glamour 125,15000,2011,Individual,1st owner,75000.0,61600.0
Honda CB Unicorn 160,50000,2017,Individual,1st owner,52000.0,77545.0
Hero Pleasure,26500,2013,Individual,1st owner,18860.0,49600.0
Royal Enfield Classic 350,135000,2017,Individual,1st owner,2700.0,
Honda CB Hornet 160R,80000,2016,Individual,1st owner,100000.0,92661.0
Bajaj CT 100,30000,2016,Individual,1st owner,38500.0,
Yamaha FZ S V 2.0,90000,2018,Individual,1st owner,10500.0,87042.0
Bajaj Pulsar 180,85000,2016,Individual,1st owner,35000.0,85011.0
Hero Glamour 125,54000,2013,Individual,1st owner,17000.0,61600.0
Bajaj CT 100,42000,2019,Individual,1st owner,2900.0,
Bajaj Discover 100 T,25000,2014,Individual,1st owner,30000.0,47032.0
TVS Star City Plus,50000,2016,Individual,2nd owner,14000.0,
Honda CB Unicorn 150,55000,2014,Individual,1st owner,10000.0,74295.0
Hero Passion PRO TR,35000,2014,Individual,1st owner,9556.0,54586.0
Honda CB Shine SP,50000,2018,Individual,1st owner,37000.0,64750.0
Bajaj V15,45000,2015,Individual,1st owner,2700.0,65626.0
Bajaj V15,45000,2016,Individual,1st owner,36000.0,67187.0
Bajaj Discover 100,28000,2015,Individual,2nd owner,52000.0,42859.0
Royal Enfield Electra 4 S,80000,2013,Individual,1st owner,46000.0,
KTM 200 Duke,130000,2016,Individual,1st owner,12000.0,
Bajaj Pulsar 220F,120000,2019,Individual,1st owner,6500.0,
Suzuki GS150R,27000,2012,Individual,1st owner,14100.0,70851.0
Honda Shine,30000,2014,Individual,1st owner,40000.0,
Honda CB Unicorn Dazzler,50000,2010,Individual,1st owner,75000.0,71757.0
Honda Livo,45000,2018,Individual,1st owner,10000.0,
Honda Aviator,28000,2009,Individual,1st owner,29625.0,59183.0
Honda Activa [2000-2015],6000,2006,Individual,2nd owner,35000.0,50267.0
Hero Hunk,35000,2016,Individual,1st owner,32000.0,78513.0
Honda Activa 125,30000,2014,Individual,1st owner,20000.0,
Bajaj Discover 110,15000,2007,Individual,1st owner,70000.0,52710.0
Hero Xtreme [2013-2014],45000,2013,Individual,1st owner,57000.0,75936.0
TVS Victor GLX,18000,2005,Individual,1st owner,11000.0,
Bajaj Pulsar NS200,85000,2018,Individual,1st owner,17500.0,
Honda Aviator,30000,2014,Individual,1st owner,7000.0,59183.0
Bajaj Platina 100,40000,2018,Individual,1st owner,17500.0,
TVS Sport,34000,2018,Individual,1st owner,25000.0,
Hero Honda Passion Plus,8000,2003,Individual,1st owner,53500.0,
Bajaj V15,70000,2018,Individual,1st owner,15000.0,67187.0
Honda Dio,50000,2016,Individual,1st owner,8000.0,
Honda Dream Yuga,35000,2015,Individual,1st owner,39448.0,56147.0
Hero Honda Splendor Plus,20000,2006,Individual,1st owner,75000.0,
Bajaj Pulsar 150,50000,2012,Individual,1st owner,28000.0,
Bajaj Discover 135,37000,2008,Individual,1st owner,62000.0,
Honda Livo,69000,2018,Individual,1st owner,12000.0,
Hero Honda Splendor NXG,28000,2012,Individual,1st owner,49999.0,
Bajaj Discover 125,25000,2011,Individual,1st owner,70000.0,57549.0
Yamaha FZ V 2.0,60000,2018,Individual,1st owner,25000.0,81508.0
Yamaha SZ-S,50000,2014,Individual,1st owner,20000.0,72532.0
Royal Enfield Thunderbird 350,135000,2016,Individual,1st owner,4500.0,
Bajaj Discover 125 M,30000,2014,Individual,1st owner,45000.0,49146.0
Yamaha FZ S [2012-2016],60000,2014,Individual,1st owner,68000.0,79432.0
Bajaj Xcd,20000,2009,Individual,1st owner,16000.0,
Bajaj Avenger Street 160,80000,2019,Individual,1st owner,5000.0,
Royal Enfield Electra 5 S,99000,2006,Individual,2nd owner,36000.0,
TVS Apache RTR 200 4V,90000,2018,Individual,1st owner,70000.0,
Hero Honda Splendor Plus,20000,2005,Individual,1st owner,27370.0,
Hero Glamour 125,50000,2017,Individual,1st owner,8600.0,61600.0
TVS Victor GLX,27000,2002,Individual,1st owner,49000.0,
Honda Grazia,60000,2018,Individual,1st owner,16000.0,
Bajaj Pulsar 150 [2001-2011],12000,2007,Individual,2nd owner,100000.0,
Hero Xtreme 2014,50000,2014,Individual,1st owner,10000.0,72973.0
Hero Pleasure,20000,2012,Individual,2nd owner,30000.0,49600.0
Hero Passion XPro,45000,2018,Individual,1st owner,7000.0,58900.0
Hero Super Splendor,40000,2013,Individual,1st owner,68000.0,
